"NUM_OF";"ARTICLE";"DESCRIPTION";"STATUT_NUM_OF";"STATUT_TEXTE_OF";"DATE_FIN";"QTE_A_FABRIQUER";"QTE_FABRIQUEE";"QTE_RESTANTE";
"F221-03110";"MC4337";"MISE EN CONF PB PROCESS BXC";    1;"Ferme";"19/11/2021";10;0;10;
"F222-03223";"MC5637";"MISE EN CONF PB PROCESS EHP";    1;"Ferme";"27/07/2022";10;0;10;
"F222-03226";"MC4337";"MISE EN CONF PB PROCESS BXC";    1;"Ferme";"31/08/2022";10;0;10;
"F222-03244";"MC4039";"MISE EN CONF PB PROCESS DIV";    1;"Ferme";"16/09/2022";10;0;10;
"F222-03259";"MC4340";"MISE EN CONF PB FOURNISSEU EAR";    1;"Ferme";"29/09/2022";10;0;10;
"F223-03359";"RE2369";"RECYCLAGE";    1;"Ferme";"08/09/2023";10;0;10;
"F223-03373";"RE2369";"RECYCLAGE";    1;"Ferme";"23/11/2023";1;0;1;
"F224-03432";"MC4009";"MISE EN CONF PB FOURNISSEU V4A";    1;"Ferme";"13/06/2024";10;0;10;
"F224-03437";"MC4336";"MISE EN CONF PB OPERATEUR BXC";    1;"Ferme";"01/07/2024";10;0;10;
"F124-26664";"RE2369";"RECYCLAGE";    1;"Ferme";"27/08/2024";10;0;10;
"F224-03488";"RE2369";"RECYCLAGE";    1;"Ferme";"05/11/2024";10;0;10;
"F225-03506";"MC4906";"MISE EN CONF PB PROCESS BDC";    1;"Ferme";"17/01/2025";10;0;10;
"F125-30945";"RE2369";"RECYCLAGE";    1;"Ferme";"28/01/2025";820;0;820;
"F125-32430";"FE2363";"FAISCEAU EQ 3.2 EHT";    1;"Ferme";"18/03/2025";720;712;8;
"F225-03539";"MC7786";"MISE EN CONF PB AERECO BDH";    1;"Ferme";"26/05/2025";20;0;20;
"F125-35993";"TA3239";"EMBASE USINEE GFN";    1;"Ferme";"12/09/2025";195;0;195;
"F125-34631";"TA3239";"EMBASE USINEE GFN";    1;"Ferme";"12/09/2025";205;0;205;
"F125-37340";"CS4350";"SACHET 4 VIS BHM";    1;"Ferme";"26/09/2025";2000;1997;3;
"F125-41475";"EP2360";"EMB HYG PREREG 2.3 BLC EMM";    1;"Ferme";"12/01/2026";1360;0;1360;
"F226-03632";"MC7786";"MISE EN CONF PB AERECO BDH";    1;"Ferme";"17/01/2026";10;0;10;
"F126-42135";"MM4797";"MM TFI 20 EQ CHARIOT NOI BDS";    1;"Ferme";"10/02/2026";700;616;84;
"F225-03631";"MC7786";"MISE EN CONF PB AERECO BDH";    1;"Ferme";"10/02/2026";10;0;10;
"F225-03630";"MC7786";"MISE EN CONF PB AERECO BDH";    1;"Ferme";"06/03/2026";10;0;10;
"F126-43615";"11028852";"REGULATEUR SDB 30M3/H EASYHOME";    1;"Ferme";"09/03/2026";1700;1655;45;
"F126-43982";"EP2360";"EMB HYG PREREG 2.3 BLC EMM";    1;"Ferme";"12/03/2026";1360;1319;41;
"F126-44226";"SE7630";"CYLINDRE/FIL 80MM TFI BDH";    1;"Ferme";"19/03/2026";4000;3926;74;
"F126-44518";"11028669";"CART 8A KIT EASYHOME AUTO + BI";    1;"Ferme";"19/03/2026";525;500;25;
"F126-44671";"SE7630";"CYLINDRE/FIL 80MM TFI BDH";    1;"Ferme";"20/03/2026";2000;1536;464;
"F126-43528";"TB5410";"DECOUPE CORDELETTE G2H EXPORT";    1;"Ferme";"21/03/2026";450;340;110;
"F126-44734";"EH5853";"EM HY LEV NOI L REG03 EHP CL2";    1;"Ferme";"21/03/2026";2000;1999;1;
"F126-44737";"EH1706";"EM HY  0*35 LO REG1 BLC EMM";    1;"Ferme";"21/03/2026";2720;2717;3;
"SGAE10624580665";"ME2752";"MOD ELEC ALIM TDA";    3;"Suggéré";"21/03/2026";1;0;1;
"F222-03263";"RE2369";"RECYCLAGE";    1;"Ferme";"21/03/2026";1;0;1;
"F122-06299";"DIV-PRODAE9";"DIV GESTION TEMPS PROD";    1;"Ferme";"21/03/2026";5000;0;5000;
"F222-03272";"RE2369";"RECYCLAGE";    1;"Ferme";"21/03/2026";1;0;1;
"F122-07416";"RE2369";"RECYCLAGE";    1;"Ferme";"21/03/2026";1;0;1;
"F122-07466";"EAR206PO";"EAR  0*35 LOB SA -- BLC AE";    1;"Ferme";"21/03/2026";1;0;1;
"F122-07498";"RE2369";"RECYCLAGE";    1;"Ferme";"21/03/2026";1;0;1;
"F223-03288";"RE2369";"RECYCLAGE";    1;"Ferme";"21/03/2026";1;0;1;
"F223-03315";"RE2369";"RECYCLAGE";    1;"Ferme";"21/03/2026";15;0;15;
"F223-03347";"RE2369";"RECYCLAGE";    1;"Ferme";"21/03/2026";10;0;10;
"F224-03481";"RE2369";"RECYCLAGE";    1;"Ferme";"21/03/2026";10;0;10;
"F224-03483";"RE2369";"RECYCLAGE";    1;"Ferme";"21/03/2026";10;0;10;
"F224-03501";"MC4905";"MISE EN CONF PB OPERATEUR BDC";    1;"Ferme";"21/03/2026";10;0;10;
"F224-03397";"MC4905";"MISE EN CONF PB OPERATEUR BDC";    1;"Ferme";"21/03/2026";10;0;10;
"F125-34350";"EHP1220AE";"EHP 11 35 L-- - - - - BLC AE";    1;"Ferme";"21/03/2026";2;0;2;
"F225-03543";"MC4341";"MISE EN CONF PB OPERATEUR EAR";    1;"Ferme";"21/03/2026";10;0;10;
"F225-03556";"MC4341";"MISE EN CONF PB OPERATEUR EAR";    1;"Ferme";"21/03/2026";10;0;10;
"F224-03431";"MC5625";"MISE EN CONF PB FOURNISSEU VB2";    1;"Ferme";"21/03/2026";10;1;9;
"F224-03456";"RE2369";"RECYCLAGE";    1;"Ferme";"21/03/2026";1;0;1;
"F224-03457";"RE2369";"RECYCLAGE";    1;"Ferme";"21/03/2026";1;0;1;
"F125-39263";"CE3585";"CE BOUCHE GAZ BXG";    1;"Ferme";"21/03/2026";2304;0;2304;
"F225-03610";"MC4342";"MISE EN CONF PB PROCESS EAR";    1;"Ferme";"21/03/2026";10;0;10;
"F125-37418";"BDH2219AL";"BDH0535 --- R00--- --- - 125AL";    1;"Ferme";"21/03/2026";24;0;24;
"F125-39710";"11019093";"BAP'SI D2-MODULO D125 NF";    1;"Ferme";"21/03/2026";2;0;2;
"F125-39838";"RE2369";"RECYCLAGE";    1;"Ferme";"21/03/2026";1;0;1;
"F125-39841";"RE2369";"RECYCLAGE";    1;"Ferme";"21/03/2026";1;0;1;
"F125-39931";"RE2369";"RECYCLAGE";    1;"Ferme";"21/03/2026";1;0;1;
"F125-31865";"TJ3125";"SOUPAPE TALQUEE";    1;"Ferme";"21/03/2026";200;180;20;
"F125-40055";"AEA301XX";"SOCLE EAR ACOUS EQ 39dB BLC AE";    1;"Ferme";"21/03/2026";1;0;1;
"F125-40660";"RE2369";"RECYCLAGE";    1;"Ferme";"21/03/2026";1;0;1;
"F125-40789";"RE2369";"RECYCLAGE";    1;"Ferme";"21/03/2026";1;0;1;
"F125-32690";"GHN736EX";"GHN 15-75 I2 R1 VI --- --- AE";    1;"Ferme";"21/03/2026";1;0;1;
"F126-41922";"RE2369";"RECYCLAGE";    1;"Ferme";"21/03/2026";1;0;1;
"F226-03636";"MC7784";"MISE EN CONF PB PROCESS BDH";    1;"Ferme";"21/03/2026";10;0;10;
"F125-41147";"AEA1216EX";"EHP ENTRETOISE DEBIT ADD";    1;"Ferme";"21/03/2026";1;0;1;
"F125-36278";"RE2369";"RECYCLAGE";    1;"Ferme";"21/03/2026";10;9;1;
"F225-03575";"MC7784";"MISE EN CONF PB PROCESS BDH";    1;"Ferme";"21/03/2026";10;0;10;
